Subject_1,Subject_2,relationship,CPAC200_space,DKT_space,HarvardOxfordcort,HarvardOxfordsub,HarvardOxfordsub,JHU_space,Schaefer2018,Schaefer2018,Schaefer2018,Schaefer2018,Talairach_space,aal_space,brodmann_space,desikan_space
107018,118023,Monozygotic,3490.900886590738,2992.1889980414003,7033.330078988189,16512.332966604085,16512.332966604085,516.0,3185.5815795549797,4198.027155700639,3783.9595663801692,3630.542659162677,4113.501671325782,6503.760988843302,8273.877386086888,7764.865227420241
159340,497865,Monozygotic,4160.579526940928,3920.8942857465568,5599.602753767449,9226.064166262882,9226.064166262882,485.3215428970777,3813.167974270213,5115.944487579982,4911.837334440138,4557.268699561175,4878.588320405812,5682.60556435162,4348.73659813974,6904.210744176339
169444,901442,Monozygotic,3847.0924085600022,3811.688339830527,5513.135133478953,15290.92129336882,15290.92129336882,290.9948453151705,3666.279858385063,4569.4303802552895,4494.645925987941,4214.764524857824,4578.7775661195865,5572.357759512574,4078.0697639937453,6465.568961816121
131217,365343,Monozygotic,4616.3604711937305,4898.8583363881835,7229.715347093549,13902.913543570643,13902.913543570643,1323.4103671953005,4505.968930208019,5672.005112832674,5441.385301556948,5474.088599940633,5395.805685900856,6820.229761525634,6702.293115046521,7301.2891327490925
159441,441939,Monozygotic,4377.63920395457,5535.067027597769,9692.24427054952,10251.250704182392,10251.250704182392,912.282302798865,4265.205270558499,5226.260613478818,5066.307333749109,4692.651489296856,4437.159789775437,7031.467485525337,8259.698602249358,9415.23616273113
116726,257845,Monozygotic,5305.0350611470985,3733.544696397781,8259.70968012799,8954.417848190915,8954.417848190915,1450.80184725551,4876.228255527011,6405.832030267418,6048.800872900347,5788.422583053176,5546.870288730393,7682.607239733136,8206.011759679606,7324.975836137618
412528,951457,Monozygotic,3722.157304574862,4112.363432382892,7815.917860366753,9792.771364634222,9792.771364634222,1961.3380636697998,3699.3698111975773,5261.3953472439225,4760.810540233669,4378.989952032318,4584.100238869129,6387.708509316936,5545.128222142388,7019.288140545307
144933,194443,Monozygotic,3949.277528865248,4664.434692435944,7223.556672443292,15565.33138098897,15565.33138098897,1134.4227607025523,3605.255053390814,4756.1063907360185,4425.236716832219,4282.022185836968,3970.05717842955,6823.845689931741,6864.577335859798,7396.483083195689
137128,859671,Monozygotic,3601.0887242610393,4734.009928168719,7146.103553685743,17072.728633701176,17072.728633701176,228.62414570644108,3744.007211531516,5014.299552280458,4798.784637801534,4432.474478211916,4297.286702094707,6248.769718912676,7098.088404634025,7699.022470417916
126325,154431,Monozygotic,4768.28700897922,3991.5815161411897,9362.236751973323,15296.697029097491,15296.697029097491,1814.9286487352608,4507.243392584874,5960.9520212798225,5868.847331461264,5405.706521815627,5871.162832012071,7275.532626550444,7236.606041508685,8034.221368620609
171330,393550,Monozygotic,3963.814072329831,3796.647073405691,5417.608882154562,11001.019861812812,11001.019861812812,658.3395780294543,3720.7063845458165,4691.160197648339,4414.052333174132,4150.155900686142,3990.712968881626,5801.300974781432,5986.544412263222,5643.476233670166
141119,342129,Monozygotic,3589.2688670535676,2947.99185887614,6577.294124486148,4504.621404735363,4504.621404735363,400.4385096366232,3891.503950916663,4755.444774150994,4546.924784950814,4421.14905878551,3840.3990678053237,5134.908373087099,5861.482576959519,5583.952453235969
287248,660951,Monozygotic,3681.0757938407082,4346.627428248251,6679.042596061205,11218.064895515625,11218.064895515625,394.37799127233257,3551.9232818291557,4594.832205859099,4429.547268062505,4014.2158636525764,4430.658190382102,6454.1310026989695,6624.539153782699,5983.590226611444
318637,926862,Monozygotic,4520.168027850292,4222.865614721833,7183.333139984529,12256.371118728413,12256.371118728413,397.4493678445092,3659.1324108318354,4895.673191707143,4711.956069404722,4283.262775034938,5750.095477468179,8224.57828706129,8532.146388805106,8321.048311360775
134627,943862,Monozygotic,4696.949541989992,4223.6312575791935,5166.855039576783,15316.875301444483,15316.875301444483,3861.6958709872533,4378.8382020805475,5061.123393081816,5087.998034590815,4738.033769402662,6781.6688948960045,6531.162377402663,6345.329148279071,7908.442324503606
139839,341834,Monozygotic,3950.4881976788643,4508.724098899821,5692.329312329005,7946.803508329623,7946.803508329623,358.2080401107714,3920.453035045822,5164.541218733761,5005.918696902698,4668.966052564529,4757.475906402469,7235.10697916762,6091.511799217005,6451.684818712086
108121,613538,Monozygotic,4230.475623378535,4230.306017299457,5596.747358957701,13879.160133091627,13879.160133091627,1423.260692916094,3706.8575640291333,5144.461390660834,4886.861671870814,4552.254716072026,5633.846643280238,7210.165670773453,9703.081778486669,8135.910766472307
178647,182436,Monozygotic,3394.999263622895,4553.59330639002,6133.377454551448,3896.9110844359793,3896.9110844359793,219.55409356238385,3399.8811743941874,4865.172761577948,4524.437202570061,4061.84317767193,4248.725691310278,6794.009788041227,9196.166429550956,7151.240451837709
